AIRCRAFT_TYPE,CLASS,AIRCRAFT_GROUP,AIRCRAFT_CONFIG
405,F,4,1
416,G,4,2
456,F,4,1
458,F,4,1
461,F,4,1
479,F,4,1
515,L,5,1
608,F,6,1
612,F,6,1
614,L,6,1
614,F,6,1
617,L,6,1
617,P,6,2
619,F,6,1
622,L,6,1
622,F,6,1
622,G,6,2
624,F,6,1
625,L,6,1
626,F,6,1
626,G,6,2
627,F,6,1
629,F,6,1
631,F,6,1
634,F,6,1
634,L,6,1
635,P,6,2
637,F,6,1
638,F,6,1
646,L,6,1
655,F,6,1
656,F,6,1
669,L,6,1
673,F,6,1
675,L,6,1
675,F,6,1
677,F,6,1
681,P,6,2
684,L,6,1
688,L,6,1
691,G,6,2
694,F,6,1
698,F,6,1
699,L,6,1
699,F,6,1
730,G,7,2
732,G,7,2
740,G,7,2
887,F,8,1
888,F,8,1
889,F,8,1
