AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,ORIGIN_DESTINATION,CITY_NAME,STATE_ABR,STATE_FIPS,STATE_NM,WAC
10140,1014003,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86
10194,1019403,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
10221,1022103,30221,AIA,"Alliance, NE",NE,31,Nebraska,65
10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22
10272,1027203,30272,ALS,"Alamosa, CO",CO,8,Colorado,82
10279,1027903,30279,AMA,"Amarillo, TX",TX,48,Texas,74
10299,1029904,30299,ANC,"Anchorage, AK",AK,2,Alaska,1
10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82
10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82
10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10409,1040903,30409,ATY,"Watertown, SD",SD,46,South Dakota,67
10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
10466,1046602,30466,AZA,"Phoenix, AZ",AZ,4,Arizona,81
10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11
10558,1055803,30558,BFF,"Scottsbluff, NE",NE,31,Nebraska,65
10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93
10561,1056103,30561,BFL,"Bakersfield, CA",CA,6,California,91
10590,1059004,30590,IFP,"Bullhead City, AZ",AZ,4,Arizona,81
10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51
10620,1062002,30620,BIL,"Billings, MT",MT,30,Montana,84
10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,North Dakota,66
10643,1064301,30643,BKG,"Branson, MO",MO,29,Missouri,64
10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54
10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83
10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13
10747,1074702,30747,BRO,"Brownsville, TX",TX,48,Texas,74
10792,1079204,30792,BUF,"Buffalo, NY",NY,36,New York,22
10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91
10821,1082104,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
10849,1084903,30849,BZN,"Bozeman, MT",MT,30,Montana,84
10925,1092502,30925,CDR,"Chadron, NE",NE,31,Nebraska,65
10950,1095002,30950,CEZ,"Cortez, CO",CO,8,Colorado,82
10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37
11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61
11042,1104203,30647,CLE,"Cleveland, OH",OH,39,Ohio,44
11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36
11066,1106603,31066,CMH,"Columbus, OH",OH,39,Ohio,44
11092,1109202,31092,CNY,"Moab, UT",UT,49,Utah,87
11097,1109702,31097,COD,"Cody, WY",WY,56,Wyoming,88
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11122,1112203,31122,CPR,"Casper, WY",WY,56,Wyoming,88
11140,1114006,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74
11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52
11233,1123302,31233,CYS,"Cheyenne, WY",WY,56,Wyoming,88
11259,1125903,30194,DAL,"Dallas, TX",TX,48,Texas,74
11267,1126702,31267,DAY,"Dayton, OH",OH,39,Ohio,44
11278,1127803,30852,DCA,"Washington, DC",VA,51,Virginia,38
11283,1128302,31283,DDC,"Dodge City, KS",KS,20,Kansas,62
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
11315,1131502,31315,DIK,"Dickinson, ND",ND,38,North Dakota,66
11376,1137601,30977,DPA,"Chicago, IL",IL,17,Illinois,41
11413,1141304,30285,DRO,"Durango, CO",CO,8,Colorado,82
11423,1142304,31423,DSM,"Des Moines, IA",IA,19,Iowa,61
11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43
11447,1144703,31447,DVL,"Devils Lake, ND",ND,38,North Dakota,66
11468,1146802,31468,EAR,"Kearney, NE",NE,31,Nebraska,65
11481,1148102,31481,ECP,"Panama City, FL",FL,12,Florida,33
11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82
11540,1154003,30615,ELP,"El Paso, TX",TX,48,Texas,74
11563,1156303,31563,ENV,"Wendover, UT",UT,49,Utah,87
11603,1160302,31603,EUG,"Eugene, OR",OR,41,Oregon,92
11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
11637,1163703,31637,FAR,"Fargo, ND",ND,38,North Dakota,66
11638,1163805,31638,FAT,"Fresno, CA",CA,6,California,91
11648,1164802,31648,FCA,"Kalispell, MT",MT,30,Montana,84
11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33
11711,1171102,31711,FMN,"Farmington, NM",NM,35,New Mexico,86
11719,1171902,31719,FNL,"Fort Collins/Loveland, CO",CO,8,Colorado,82
11775,1177502,31775,FSD,"Sioux Falls, SD",SD,46,South Dakota,67
11840,1184002,31840,GAD,"Gadsden, AL",AL,1,Alabama,51
11865,1186502,31865,GCC,"Gillette, WY",WY,56,Wyoming,88
11884,1188402,31884,GEG,"Spokane, WA",WA,53,Washington,93
11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82
11973,1197302,31973,GPT,"Gulfport/Biloxi, MS",MS,28,Mississippi,53
11986,1198603,31986,GRR,"Grand Rapids, MI",MI,26,Michigan,43
11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,36
11996,1199603,31871,GSP,"Greer, SC",SC,45,South Carolina,37
