FLIGHT_ID,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,DISTANCE_GROUP,RAMP_TO_RAMP,AIR_TIME
1,0,1,37400,150,146,0,0,854,2,124,107
2,0,1,37822,119,117,0,0,967,2,144,125
3,0,1,37822,119,119,0,0,967,2,162,121
4,0,1,5300,8,2,0,0,604,2,120,108
5,0,1,10841,50,43,0,0,488,1,91,72
6,0,2,23500,100,41,0,0,576,2,200,165
7,0,1,10841,50,35,0,0,488,1,91,82
8,0,1,12659,50,22,0,0,889,2,131,116
9,0,1,10808,50,38,0,0,889,2,143,124
10,0,1,12659,50,0,0,0,1464,3,206,196
11,0,1,21458,0,0,800,0,1199,3,178,168
12,0,1,21458,0,0,0,0,1278,3,181,167
13,0,1,95000,215,156,0,0,761,2,132,120
14,0,1,95000,215,0,0,0,604,2,96,72
15,0,1,2000,8,3,0,0,725,2,122,113
16,0,2,4000,16,4,0,0,735,2,234,210
17,0,2,4000,16,3,0,0,735,2,233,209
18,0,1,2000,8,2,0,0,292,1,54,47
19,0,1,51700,187,62,0,0,602,2,164,88
20,0,1,51700,187,56,0,0,1558,4,260,216
21,0,1,49760,199,160,0,0,1184,3,169,152
22,0,1,34446,132,30,0,0,1199,3,212,172
23,0,1,50700,192,150,14,39,1199,3,174,156
24,0,1,49760,199,160,0,0,1184,3,166,148
25,0,1,38879,160,139,0,0,592,2,91,75
26,0,1,29900,110,103,492,0,230,1,83,54
27,0,1,34446,132,4,0,0,1199,3,153,132
28,0,1,50700,192,129,0,0,1199,3,173,152
29,0,1,49760,72,62,0,0,1199,3,167,143
30,0,1,49760,72,0,0,0,1069,3,142,128
31,0,1,32870,149,148,0,0,1123,3,158,137
32,0,1,38470,158,150,32,0,483,1,152,126
33,0,1,38170,158,149,0,0,628,2,118,92
34,0,1,38170,158,102,70,4,853,2,142,115
35,0,1,49760,72,50,0,0,391,1,92,70
36,0,1,32870,149,147,5,0,1123,3,178,151
37,0,1,49760,199,160,28,0,680,2,142,101
38,0,1,38170,158,156,0,226,495,1,115,76
39,0,2,99520,144,61,0,0,967,2,280,229
40,0,1,49760,72,52,0,0,391,1,84,53
41,0,1,42500,173,0,0,0,1671,4,275,255
42,0,1,42500,173,0,0,0,1136,3,160,140
43,0,1,42500,173,27,0,0,954,2,150,120
44,0,1,34279,128,126,4,0,150,1,48,36
45,0,1,41006,166,70,10064,0,1201,3,168,151
46,0,1,38700,166,152,0,282,967,2,218,190
47,0,1,34771,128,122,1,0,862,2,144,116
48,0,1,35906,179,174,0,0,1709,4,298,270
49,0,1,36926,166,163,0,0,1482,3,249,217
50,0,1,40581,179,58,10064,0,541,2,86,79
